plays,game,language,flags
58,meurimuengRimuengPeuetPloh_lud,hrg,--enable-all-optimizations
41,meurimuengRimuengPeuetPloh_lud,hrg,none
1007831,diceThrowGuess,hrg,--enable-all-optimizations
1082625,diceThrowGuess,hrg,none
611,hex,hrg,--enable-all-optimizations
394,hex,hrg,none
2943,englishDraughts,hrg,--enable-all-optimizations
1119,englishDraughts,hrg,none
4510,bombardment,hrg,--enable-all-optimizations
6054,bombardment,hrg,none
67,backgammon,hrg,--enable-all-optimizations
37,backgammon,hrg,none
48,chess,hrg,--enable-all-optimizations
29,chess,hrg,none
209,peralikatuma_lud,hrg,--enable-all-optimizations
136,peralikatuma_lud,hrg,none
1854,reversi,hrg,--enable-all-optimizations
544,reversi,hrg,none
2051,foxAndGeese,hrg,--enable-all-optimizations
1664,foxAndGeese,hrg,none
2691,kauaDorki_lud,hrg,--enable-all-optimizations
1823,kauaDorki_lud,hrg,none
167,amazons,hrg,--enable-all-optimizations
114,amazons,hrg,none
8836,ultimateTicTacToe,hrg,--enable-all-optimizations
7697,ultimateTicTacToe,hrg,none
1894,breakthrough,hrg,--enable-all-optimizations
1530,breakthrough,hrg,none
295,pentago,hrg,--enable-all-optimizations
248,pentago,hrg,none
414,lamPusri_lud,hrg,--enable-all-optimizations
283,lamPusri_lud,hrg,none
537,battleships,hrg,--enable-all-optimizations
526,battleships,hrg,none
1842,golSkuish,hrg,--enable-all-optimizations
1083,golSkuish,hrg,none
43,rattiChittiBakri_lud,hrg,--enable-all-optimizations
33,rattiChittiBakri_lud,hrg,none
43142,connect4,hrg,--enable-all-optimizations
35201,connect4,hrg,none
4856,lauKataKati,hrg,--enable-all-optimizations
3365,lauKataKati,hrg,none
1054,amazons_split2,hrg,--enable-all-optimizations
846,amazons_split2,hrg,none
1345,amazons_split3,hrg,--enable-all-optimizations
1209,amazons_split3,hrg,none
126645,ticTacToe,hrg,--enable-all-optimizations
115892,ticTacToe,hrg,none
897,baraGuti_lud,hrg,--enable-all-optimizations
681,baraGuti_lud,hrg,none
1745,lauKataKati_lud,hrg,--enable-all-optimizations
1213,lauKataKati_lud,hrg,none
3634,pentago_split,hrg,--enable-all-optimizations
3120,pentago_split,hrg,none
35,tavelspel_lud,hrg,--enable-all-optimizations
28,tavelspel_lud,hrg,none
1364,dashGuti_lud,hrg,--enable-all-optimizations
954,dashGuti_lud,hrg,none
12936,pretwa,hrg,--enable-all-optimizations
7646,pretwa,hrg,none
1057,terhuchuSmall_lud,hrg,--enable-all-optimizations
742,terhuchuSmall_lud,hrg,none
399,ahtarahGuti_lud,hrg,--enable-all-optimizations
263,ahtarahGuti_lud,hrg,none
2735,pretwa_lud,hrg,--enable-all-optimizations
1816,pretwa_lud,hrg,none
149403,ticTacDie,hrg,--enable-all-optimizations
115718,ticTacDie,hrg,none
9188,turingMachine,hrg,--enable-all-optimizations
5095,turingMachine,hrg,none
54,satoel_lud,hrg,--enable-all-optimizations
39,satoel_lud,hrg,none
158,kotuEllima_lud,hrg,--enable-all-optimizations
105,kotuEllima_lud,hrg,none
4708,dashGuti,hrg,--enable-all-optimizations
2978,dashGuti,hrg,none
278900,twentyOne,hrg,--enable-all-optimizations
279013,twentyOne,hrg,none
709,clobber,hrg,--enable-all-optimizations
659,clobber,hrg,none
959,baraGutiBihar_lud,hrg,--enable-all-optimizations
667,baraGutiBihar_lud,hrg,none
392,aiyawatstani_lud,hrg,--enable-all-optimizations
299,aiyawatstani_lud,hrg,none
240,golEkuish_lud,hrg,--enable-all-optimizations
201,golEkuish_lud,hrg,none
618,foxAndGeese_lud,hrg,--enable-all-optimizations
523,foxAndGeese_lud,hrg,none
301,ataxx,hrg,--enable-all-optimizations
234,ataxx,hrg,none
931,alquerque_lud,hrg,--enable-all-optimizations
687,alquerque_lud,hrg,none
394,mogulPutthan_lud,hrg,--enable-all-optimizations
285,mogulPutthan_lud,hrg,none
2881,knightthrough,hrg,--enable-all-optimizations
2355,knightthrough,hrg,none
11999,yavalath,hrg,--enable-all-optimizations
9076,yavalath,hrg,none
547,gomoku_freeStyle,hrg,--enable-all-optimizations
447,gomoku_freeStyle,hrg,none
433,damHariman_lud,hrg,--enable-all-optimizations
290,damHariman_lud,hrg,none
5953,alquerque,hrg,--enable-all-optimizations
3611,alquerque,hrg,none
324,damSingapore_lud,hrg,--enable-all-optimizations
231,damSingapore_lud,hrg,none
74,chalisGutiaTitagarh_lud,hrg,--enable-all-optimizations
54,chalisGutiaTitagarh_lud,hrg,none
275,bisGutiya_lud,hrg,--enable-all-optimizations
194,bisGutiya_lud,hrg,none
252,tuknanavuhpi_lud,hrg,--enable-all-optimizations
193,tuknanavuhpi_lud,hrg,none
300,smasandyutakankarikrida_lud,hrg,--enable-all-optimizations
228,smasandyutakankarikrida_lud,hrg,none
1264132,diceThrowCompare,hrg,--enable-all-optimizations
1211483,diceThrowCompare,hrg,none
32054,ticTacToe,kif,--enable-all-optimizations
21254,ticTacToe,kif,none
2211,connect4,kif,--enable-all-optimizations
1525,connect4,kif,none
225112,montyHall,kif,--enable-all-optimizations
141106,montyHall,kif,none
