assign_edges_none,average_branching_none,comparison_edges_none,constants_none,edges_none,main_automaton_nodes_none,max_branching_none,nodes_none,reachability_edges_none,reachability_subautomatons_none,skip_edges_none,state_size_none,tag_edges_none,variables_none,game,language,assign_edges_all,average_branching_all,comparison_edges_all,constants_all,edges_all,main_automaton_nodes_all,max_branching_all,nodes_all,reachability_edges_all,reachability_subautomatons_all,skip_edges_all,state_size_all,tag_edges_all,variables_all,nodes_diff_percentage
6,1.0,0,1,10,10,1,11,0,0,2,19,2,5,diceThrowGuess,hrg,6,1.0,0,1,8,9,1,9,0,0,0,19,2,5,18.181818181818183
61,1.1595744680851063,48,14,218,123,4,193,8,4,81,268,20,7,englishDraughts,hrg,52,1.3061224489795915,47,18,128,72,4,103,8,4,1,268,20,7,46.63212435233161
23,1.1020408163265305,5,21,54,43,4,51,2,1,18,341,6,7,bombardment,hrg,23,1.15625,5,20,37,30,4,34,2,1,4,341,3,7,33.33333333333333
2198,1.106226507599281,1804,16,6769,2894,3,6144,44,24,2157,1208,566,38,backgammon,hrg,739,1.2654784240150094,1622,16,2698,1173,3,2155,40,22,95,1039,202,11,64.92513020833334
624,1.2287457110179183,577,33,3223,1280,12,2631,12,10,1446,1429,564,11,chess,hrg,352,1.6483390607101946,575,39,1439,460,12,879,12,5,469,1429,31,11,66.59064994298745
61,1.1595744680851063,48,14,218,123,4,193,8,4,81,1498,20,7,englishDraughts_lud,hrg,51,1.309278350515464,47,18,127,71,4,102,8,4,1,1498,20,7,47.15025906735752
81,1.1851851851851851,63,11,256,139,16,219,4,2,61,317,47,7,foxAndGeese,hrg,55,1.31496062992126,63,17,167,98,16,130,4,2,40,315,5,6,40.63926940639269
154,1.2122762148337596,154,10,948,768,8,784,2,1,491,519,147,6,amazons,hrg,154,1.3440366972477065,154,10,586,434,8,438,2,1,273,519,3,6,44.13265306122449
50,1.1490683229813663,58,5,185,80,4,170,16,8,55,396,6,12,ultimateTicTacToe,hrg,43,1.24,58,8,124,55,4,109,16,8,1,394,6,11,35.88235294117647
12,1.131578947368421,7,13,43,33,3,40,2,1,17,339,5,6,breakthrough,hrg,12,1.2272727272727273,7,12,27,21,3,24,2,1,4,339,2,6,40.0
204,1.0819030412526347,1284,1,3593,256,32,3332,20,10,2067,167,18,9,pentago,hrg,181,1.3820224719101124,764,0,984,197,9,723,20,10,1,161,18,6,78.30132052821128
152,1.0689655172413792,86,4,341,318,6,320,0,0,49,2952,54,8,battleships,hrg,141,1.0883534136546185,86,9,271,250,6,250,0,0,0,2948,44,6,21.875
15,1.223529411764706,39,5,104,44,7,88,4,2,45,231,1,6,connect4,hrg,14,1.475,39,22,59,24,7,43,4,2,1,231,1,6,51.13636363636363
156,1.211734693877551,154,11,950,770,8,786,2,1,491,519,147,6,amazons_split2,hrg,156,1.3424657534246576,154,10,588,436,8,440,2,1,273,519,3,6,44.02035623409669
19,1.125,13,5,63,36,4,59,8,4,21,52,2,6,ticTacToe,hrg,14,1.2258064516129032,13,8,38,23,4,34,8,2,1,50,2,5,42.3728813559322
206,1.173580089342693,1284,1,1839,246,32,1578,20,10,311,167,18,9,pentago_split,hrg,175,1.385269121813031,764,0,978,191,9,717,20,10,1,161,18,6,54.562737642585546
24,1.1333333333333333,24,5,85,40,4,80,8,4,27,142,2,8,ticTacDie,hrg,17,1.238095238095238,24,8,52,25,4,47,8,4,1,140,2,7,41.25
26,1.0886075949367089,20,1,86,74,4,80,0,0,36,54,4,7,turingMachine,hrg,23,1.1891891891891893,16,1,44,38,2,38,0,0,1,54,4,7,52.5
20,1.1538461538461535,9,7,45,38,2,40,0,0,11,238,5,7,twentyOne,hrg,18,1.2222222222222223,9,6,33,28,2,28,0,0,1,238,5,7,30.0
15,1.1590909090909092,10,6,51,33,4,46,2,1,18,420,6,7,clobber,hrg,15,1.2592592592592593,10,7,34,24,4,29,2,1,5,420,2,7,36.95652173913043
76,1.3243243243243243,30,29,245,124,24,188,4,2,84,420,51,11,ataxx,hrg,76,1.7692307692307692,30,30,138,72,24,81,4,2,3,420,25,11,56.91489361702128
14,1.125,6,19,45,35,4,42,2,1,17,341,6,7,knightthrough,hrg,14,1.2083333333333333,6,18,29,23,4,26,2,1,5,341,2,7,38.095238095238095
50,1.1686746987951808,116,8,291,40,4,254,8,4,115,103312,2,12,gomoku_freeStyle,hrg,15,1.42,116,32,142,23,8,105,8,4,1,1144,2,5,58.661417322834644
84,1.2024291497975708,92,14,297,174,8,251,6,3,93,273,22,8,alquerque,hrg,54,1.4065040650406504,92,22,173,101,8,127,6,3,3,273,18,8,49.40239043824701
63,1.1578947368421053,48,14,220,125,4,195,8,4,81,268,20,7,englishDraughts_split,hrg,54,1.3,47,18,130,74,4,105,8,4,1,268,20,7,46.15384615384615
10,1.0,0,1,14,14,1,15,0,0,2,26,2,5,diceThrowCompare,hrg,10,1.0,0,1,12,13,1,13,0,0,0,26,2,5,13.333333333333334
151,1.4543650793650793,439,0,733,216,16,578,113,73,10,150,20,63,ticTacToe,kif,122,1.371841155234657,168,0,380,184,9,309,69,31,1,150,20,63,46.53979238754326
431,1.2597315436241612,988,0,1877,563,88,1673,432,182,10,430,16,205,connect4,kif,331,1.380157170923379,732,0,1405,474,13,1142,325,123,1,430,16,205,31.73939031679617
76,1.2215909090909092,76,0,215,117,7,204,40,27,11,75,12,31,montyHall,kif,61,1.3089430894308942,68,0,161,103,3,133,18,9,2,73,12,30,34.80392156862745
