game,language,assign_edges,assign_edges_diff,average_branching,average_branching_diff,comparison_edges,comparison_edges_diff,constants,constants_diff,edges,edges_diff,main_automaton_nodes,main_automaton_nodes_diff,max_branching,max_branching_diff,nodes,nodes_diff,reachability_edges,reachability_edges_diff,reachability_subautomatons,reachability_subautomatons_diff,skip_edges,skip_edges_diff,state_size,state_size_diff,tag_edges,tag_edges_diff,variables,variables_diff
breakthrough_7x7,rbg,64,-54.69,1.0985221674876848,11.64,30,-20.0,6,33.33,223,-70.85,98,-61.22,3,0.0,214,-73.83,20,-80.0,10,-80.0,95,-96.84,609,-32.68,14,-64.29,7,-28.57
chess_kingCapture,rbg,606,-36.14,1.2330532212885157,25.73,382,-0.52,20,55.0,2201,-47.25,898,-45.21,16,0.0,1796,-58.24,20,-60.0,10,-60.0,883,-69.88,2526,0.0,310,-61.29,11,0.0
chess_200,rbg,962,-45.11,1.2704673516738485,40.79,730,-0.55,20,50.0,3833,-53.85,910,-59.34,16,0.0,3042,-67.06,80,-35.0,24,-50.0,1817,-79.03,2626,-39.6,244,-66.39,11,-9.09
breakthrough_5x5,rbg,64,-54.69,1.0985221674876848,11.64,30,-20.0,6,33.33,223,-70.85,98,-61.22,3,0.0,214,-73.83,20,-80.0,10,-80.0,95,-96.84,417,-24.7,14,-64.29,7,-28.57
gomoku_standard,rbg,98,-74.49,1.079155672823219,18.03,60,0.0,10,140.0,409,-70.42,66,-60.61,8,0.0,406,-75.37,36,-77.78,26,-84.62,203,-88.18,2469,-45.73,12,-66.67,7,-28.57
breakthrough_10x10,rbg,64,-54.69,1.0985221674876848,11.64,30,-20.0,6,33.33,223,-70.85,98,-61.22,3,0.0,214,-73.83,20,-80.0,10,-80.0,95,-96.84,1017,-39.63,14,-64.29,7,-28.57
go,rbg,370,-40.0,1.1334418226200162,20.89,112,0.89,10,10.0,1393,-61.74,466,-50.64,5,0.0,1309,-66.77,186,-18.28,79,-43.04,625,-97.6,6525,-5.53,100,-69.0,10,-10.0
amazons_split5plus,rbg,364,-54.12,1.1450634307777166,15.67,165,-37.58,10,-20.0,2076,-73.46,756,-46.69,8,0.0,2051,-79.33,316,-95.57,237,-97.05,1091,-88.18,1421,-42.58,140,-1.43,7,-28.57
theMillGame_split,rbg,651,-66.97,1.0668616798997077,19.52,280,-43.93,14,14.29,2553,-79.12,587,-53.15,6,-33.33,2531,-81.98,280,-64.29,137,-72.99,902,-97.78,490,-4.9,440,-90.68,9,-11.11
englishDraughts_split,rbg,604,-69.7,1.127591706539075,35.74,308,-12.99,8,25.0,2121,-71.71,710,-68.03,8,50.0,1946,-78.78,134,-65.67,64,-68.75,845,-96.09,692,-33.24,230,-69.57,8,-25.0
